region_id;annee;nb_usagers;nb_etc_avq;hrs_avq;nb_employes;couts;iso_smaf1;iso_smaf2;iso_smaf3;iso_smaf4;iso_smaf5;iso_smaf6;iso_smaf7;iso_smaf8;iso_smaf9;iso_smaf10;iso_smaf11;iso_smaf12;iso_smaf13;iso_smaf14
16;2017;1462;456.1733;786898.97;2722;11831921;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
16;2018;1797;562.9919;971161.04;3181;15023813;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
16;2019;2039;664.4959;1146255.5;3750;19715314;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
16;2020;2368;821.1072;1416409.9;3996;28234789;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
16;2021;2836;1105.189;1906451.1;5107;45070900;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
17;2015;0;0;0;0;0;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
17;2016;0;0;0;0;0;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
17;2017;0;0;0;0;0;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
17;2018;0;0;0;0;0;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
17;2019;0;0;0;0;0;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
17;2020;0;0;0;0;0;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
17;2021;0;0;0;0;0;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
18;2015;0;0;0;0;0;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
18;2016;0;0;0;0;0;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
18;2017;0;0;0;0;0;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
18;2018;0;0;0;0;0;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
18;2019;0;0;0;0;0;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
18;2020;0;0;0;0;0;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
18;2021;0;0;0;0;0;.0471;.0225;.0123;.1598;.0686;.0543;.1168;.082;.1814;.0553;.0553;.0635;.0369;.0441
