region_id;annee;nb_usagers_avd;iso_smaf1;iso_smaf2;iso_smaf3;iso_smaf4;iso_smaf5;iso_smaf6;iso_smaf7;iso_smaf8;iso_smaf9;iso_smaf10;iso_smaf11;iso_smaf12;iso_smaf13;iso_smaf14;heures_tot_trav_avd;nb_etc_avd;tx_hrs_dep_avd;tx_hrs_admin_avd;sal_avd;cout_hr_services_avd;tx_contrib_avd
6;2019;9372.333;.315352;.084771;.012901;.320038;.036677;.057572;.033725;.034321;.063698;.011746;.009354;.010118;.006091;.003637;455056.5;258.1881;.05621018;.10426816;21.9389;26.13261;.3596539
7;2015;1513.333;.29576;.09609;.022081;.331993;.04989;.039703;.0375;.040419;.057599;.006057;.00793;.005176;.004515;.005286;123089.2;69.83785;.05097374;.09288506;17.925;20.93697;.4097267
7;2016;1485.917;.302114;.089675;.007403;.340699;.037519;.05569;.031182;.036622;.050081;.01761;.006113;.014133;.007683;.003477;115788.6;65.69565;.05099327;.09292064;18.1125;21.15733;.3873002
7;2017;1578.5;.296695;.096769;.013726;.310316;.040809;.059075;.048992;.038486;.055168;.013093;.007497;.011245;.007602;.000528;117681.7;66.76975;.05169013;.09444296;18.745;21.95307;.3594866
7;2018;1602.917;.292072;.081934;.016844;.306785;.051677;.071224;.044554;.034053;.068469;.007902;.008006;.008214;.004419;.003847;116903.2;66.32806;.05534822;.10143706;19.25;22.8293;.3382032
7;2019;1533.583;.282345;.095582;.013802;.306254;.052872;.065533;.045862;.033799;.069337;.008151;.007118;.011085;.00576;.0025;112099.9;63.60275;.05621018;.10426816;20.9;24.89513;.3365632
8;2015;2425.667;.439432;.109351;.029099;.233991;.032431;.039027;.039439;.022159;.036794;.007146;.003813;.004672;.001993;.000653;259808.2;147.4089;.05097374;.09288506;17.5757;20.52899;.3864688
8;2016;2425.083;.384042;.123192;.02024;.266383;.042404;.035738;.040823;.020205;.044844;.009312;.006563;.003917;.001512;.000825;250050.5;141.8726;.05099327;.09292064;17.7557;20.74057;.3620877
8;2017;2373.167;.374078;.126589;.02279;.265995;.046632;.035817;.034518;.025669;.039715;.008989;.006812;.006356;.003511;.002528;255859.5;145.1685;.05169013;.09444296;18.6314;21.82006;.3454438
8;2018;2298.667;.372245;.11155;.015698;.266894;.04122;.045026;.042815;.027625;.046911;.005655;.009063;.010658;.003807;.000834;225260.2;127.8072;.05534822;.10143706;19.3143;22.90554;.3318117
