region_id;iso_smaf;gr_age;inf1avq0;inf0avq1;inf1avq1;inf0avq0;AVD
4;5;3;0;1;0;0;.1223305
4;13;3;0;1;0;0;.0946535
4;7;3;0;1;0;0;.1223305
4;8;3;0;0;1;0;.0886989
4;2;3;0;0;1;0;.0866011
4;11;3;0;1;0;0;.0946535
4;2;3;0;0;0;1;1
4;3;3;0;1;0;0;.1195416
4;13;3;1;0;0;0;.0139276
4;10;3;0;0;1;0;.0886989
4;1;3;0;0;0;1;1
4;9;3;1;0;0;0;.0195686
4;12;3;0;0;1;0;.0680411
4;10;3;0;1;0;0;.1223305
4;1;3;0;1;0;0;.1195416
4;7;3;0;0;0;1;1
4;12;3;1;0;0;0;.0139276
4;11;3;1;0;0;0;.0139276
4;6;3;0;1;0;0;.1287224
4;13;3;0;0;1;0;.0680411
4;3;3;0;0;0;1;1
4;10;3;0;0;0;1;1
4;9;3;0;0;1;0;.0935207
4;14;3;0;0;1;0;.0680411
4;5;3;0;0;1;0;.0886989
4;8;3;0;1;0;0;.1223305
4;13;3;0;0;0;1;1
4;4;3;1;0;0;0;.0195686
4;12;3;0;0;0;1;1
4;9;3;0;0;0;1;1
4;5;3;0;0;0;1;1
4;8;3;1;0;0;0;.0184819
4;12;3;0;1;0;0;.0946535
4;6;3;0;0;1;0;.0935207
4;8;3;0;0;0;1;1
4;9;3;0;1;0;0;.1287224
4;4;3;0;0;0;1;1
4;2;3;1;0;0;0;.018012
4;3;3;1;0;0;0;.018012
4;7;3;1;0;0;0;.0184819
5;9;1;1;0;0;0;.0876123
5;13;1;1;0;0;0;.0636294
5;4;1;0;0;1;0;.3317098
5;3;1;1;0;0;0;.0810907
5;6;1;0;0;1;0;.3317098
5;10;1;1;0;0;0;.0830671
5;7;1;1;0;0;0;.0830671
5;8;1;0;0;1;0;.3189279
5;2;1;0;0;0;1;1
5;12;1;0;0;0;1;1
5;8;1;0;0;0;1;1
5;13;1;0;1;0;0;.3346627
5;8;1;1;0;0;0;.0830671
5;12;1;0;1;0;0;.3346627
5;4;1;1;0;0;0;.0876123
5;13;1;0;0;1;0;.2599451
5;3;1;0;0;1;0;.3132567
5;2;1;0;1;0;0;.3951166
5;2;1;1;0;0;0;.0810907
5;5;1;1;0;0;0;.0830671
5;3;1;0;0;0;1;1
5;11;1;1;0;0;0;.0636294
5;11;1;0;1;0;0;.3346627
5;12;1;1;0;0;0;.0636294
5;7;1;0;0;0;1;1
5;1;1;1;0;0;0;.0810907
5;4;1;0;0;0;1;1
5;14;1;0;0;1;0;.2599451
5;13;1;0;0;0;1;1
5;14;1;0;1;0;0;.3346627
5;9;1;0;0;1;0;.3317098
5;11;1;0;0;0;1;1
5;5;1;0;0;1;0;.3189279
5;9;1;0;0;0;1;1
5;10;1;0;0;1;0;.3189279
5;3;1;0;1;0;0;.3951166
5;7;1;0;1;0;0;.4014036
5;6;1;0;0;0;1;1
5;1;1;0;0;1;0;.3132567
5;10;1;0;0;0;1;1
5;9;1;0;1;0;0;.4154745
5;5;1;0;0;0;1;1
5;6;1;1;0;0;0;.0876123
5;7;1;0;0;1;0;.3189279
5;12;1;0;0;1;0;.2599451
5;11;1;0;0;1;0;.2599451
5;8;1;0;1;0;0;.4014036
5;14;1;1;0;0;0;.0636294
5;14;1;0;0;0;1;1
5;1;1;0;0;0;1;1
5;5;1;0;1;0;0;.4014036
5;4;1;0;1;0;0;.4154745
5;1;1;0;1;0;0;.3951166
5;6;1;0;1;0;0;.4154745
5;2;1;0;0;1;0;.3132567
5;10;1;0;1;0;0;.4014036
5;10;2;0;0;1;0;.2365169
5;5;2;0;0;0;1;1
5;4;2;0;1;0;0;.3198312
5;4;2;0;0;0;1;1
5;7;2;1;0;0;0;.0565428
5;9;2;0;1;0;0;.3198312
5;10;2;1;0;0;0;.0565428
