region_id;annee;nb_places;nb_installations;nb_etc_inf_sad;nb_etc_avq_sad;nb_etc_avd_sad;hrs_inf_sad;hrs_avq_sad;hrs_avd_sad;nb_usagers_tot;nb_usagers_m65_ans;nb_usagers_65_74_ans;nb_usagers_75_84_ans;nb_usagers_85p_ans;nb_usagers_sad;tx_occupation;tx_sad;iso_smaf1;iso_smaf2;iso_smaf3;iso_smaf4;iso_smaf5;iso_smaf6;iso_smaf7;iso_smaf8;iso_smaf9;iso_smaf10;iso_smaf11;iso_smaf12;iso_smaf13;iso_smaf14
15;2016;8493;124;7.317228;50.0476;.694942;12622.22;86332.12;1198.775;6239;172;767;2678;2622;1552;.734605;.2487578;.084407;.027008;.067494;.164143;.093643;.203447;.083763;.116248;.069373;.032378;.015357;.027814;.011115;.003812
15;2017;8711;121;8.613212;50.53928;.8264077;14857.79;87180.25;1425.553;6410;170;795;2756;2689;1641.25;.7358512;.2560453;.083981;.027164;.058695;.177812;.10231;.199848;.085961;.109266;.064483;.026606;.014014;.03346;.010967;.005433
15;2018;9055;116;7.386008;54.14119;1.8084;12740.86;93393.55;3119.489;6851;171;805;3076;2799;1523.417;.7565986;.2223641;.092172;.037306;.070292;.179093;.101964;.18232;.095345;.102401;.057929;.030305;.009901;.027843;.009627;.003501
15;2019;8900;107;7.284563;83.41771;4.210755;12565.87;143895.6;7263.553;6752;143;773;3036;2800;1467.917;.7586517;.2174047;.086801;.030202;.052399;.186886;.097758;.177917;.100483;.121317;.055407;.025603;.02021;.034743;.006983;.003293
16;2015;22532;259;23.18147;53.08561;1.607259;39988.04;91572.67;2772.522;16391;322;1658;6647;7764;4164.667;.7274543;.2540825;.122599;.036257;.059409;.192813;.08288;.185149;.06289;.109913;.06259;.031575;.015227;.026333;.008024;.004342
16;2016;23754;261;23.98062;57.04463;3.807437;41366.57;98401.99;6567.828;17565;296;1783;7153;8333;4664.833;.7394544;.2655755;.108364;.035836;.061506;.188181;.076637;.187199;.068205;.121083;.061256;.034853;.016453;.026743;.008503;.005181
16;2017;26953;257;26.09205;84.05084;2.987998;45008.78;144987.7;5154.296;18139;312;1898;7382;8547;4998.25;.6729863;.2755527;.104537;.030544;.063356;.197302;.079178;.18058;.068824;.118625;.06589;.031378;.016673;.028893;.008486;.005735
16;2018;31663;257;29.10458;115.3915;7.368785;50205.39;199050.3;12711.15;20759;386;2635;8685;9053;5408.083;.6556233;.2605175;.110421;.03034;.05951;.195017;.079773;.176433;.072993;.125784;.059679;.035148;.016857;.026488;.00809;.003467
16;2019;33017;251;29.7447;224.6178;20.98616;51309.6;387465.7;36201.12;21229;400;2718;8742;9369;5797.667;.6429718;.2731013;.11542;.032499;.054289;.192347;.083582;.157563;.0747;.13458;.05909;.03431;.019994;.029121;.008222;.004283
17;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.372727;.084848;.051515;.160606;.139394;.072727;.081818;.012121;.012121;0;0;0;0;.012121
17;2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.429268;.12439;0;.187805;.097561;.060976;.019512;.043902;0;0;.009756;.02439;.002439;0
17;2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.307829;.133452;.08363;.172598;.076512;.076512;.099644;.037367;.010676;0;0;0;.001779;0
17;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.382208;.116969;.098847;.120264;.103789;.029654;.051071;.019769;.024712;.014827;0;.037891;0;0
17;2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.426848;.092006;.07089;.152338;.057315;.034691;.075415;.06184;.006033;.0181;.004525;0;0;0
18;2015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.372727;.084848;.051515;.160606;.139394;.072727;.081818;.012121;.012121;0;0;0;0;.012121
18;2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.429268;.12439;0;.187805;.097561;.060976;.019512;.043902;0;0;.009756;.02439;.002439;0
18;2017;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.307829;.133452;.08363;.172598;.076512;.076512;.099644;.037367;.010676;0;0;0;.001779;0
18;2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.382208;.116969;.098847;.120264;.103789;.029654;.051071;.019769;.024712;.014827;0;.037891;0;0
18;2019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;.426848;.092006;.07089;.152338;.057315;.034691;.075415;.06184;.006033;.0181;.004525;0;0;0
